,Stock,Bollinger Band,Keltner Channel,Moving Average Envelope,Price Channel,Parabolic SAR
670,./stocks/DFBG.csv,5420.85703704,4943.18703704,1053.16703704,6182.81,3599.09113301
671,./stocks/DFFN.csv,5669.60283186,3017.65283186,-953.677168142,-18498.38,2257.19645709
672,./stocks/DFRG.csv,9699.48835052,10196.9882285,9094.08823352,11057.299831,9161.17266434
673,./stocks/DFVL.csv,10096.6980212,10087.5279622,9958.11808124,9360.310576,9795.28381105
674,./stocks/DFVS.csv,11520.2997064,10958.6097124,11333.7997474,11298.310125,10844.2621744
675,./stocks/DGICA.csv,9108.71558854,8810.58558954,9276.75570954,9942.069937,8550.12387569
676,./stocks/DGICB.csv,10038.7429319,10447.0828709,9788.3229319,11326.400055,8654.53520833
677,./stocks/DGII.csv,7614.58068592,8055.77068592,7271.38068592,9819.15,7746.74666846
678,./stocks/DGLD.csv,6345.62367158,6520.24352958,6256.00360258,6394.590623,6280.40439305
679,./stocks/DGLY.csv,5360.33857143,6663.69857143,4729.00857143,1849.12,5659.35289705
680,./stocks/DGRE.csv,12090.59248,11754.6108678,11594.9497194,10486.156459,12437.6710531
681,./stocks/DGRS.csv,10651.1968525,10576.2870315,10652.7969685,11147.310037,10112.5236998
682,./stocks/DGRW.csv,12275.6363568,11331.9074098,11794.9663208,10260.890357,12081.2676035
683,./stocks/DHIL.csv,10911.2159746,9967.95596455,12018.6458676,9265.819669,9379.70888726
684,./stocks/DHXM.csv,6299.69413585,5013.26663585,5343.44843585,6551.6164,5249.6674836
685,./stocks/DIOD.csv,12262.2349479,12176.3650379,13596.6250639,16545.799886,11564.7433894
686,./stocks/DISCA.csv,9479.72634353,8976.33641453,8810.45619653,10387.429895,8460.5396807
687,./stocks/DISCB.csv,14496.2943918,18235.6645148,14072.0045138,14193.61027,11453.0557252
688,./stocks/DISCK.csv,8992.93904007,8003.36924007,8738.57937507,9634.661494,8090.94753067
689,./stocks/DISH.csv,5381.4473625,3832.6473955,6266.0874395,-1128.21072,6472.49502135
